Date,Open,High,Low,Close,Volume,News Title,News Summary
2024-03-25,27.8600,28.3300,26.9000,27.6300,5221075,,
2024-12-03,35.5550,37.2800,35.3900,36.7500,4157963,,
2024-09-12,21.5300,22.8700,21.4480,22.8700,5760020,,
2024-05-07,24.6000,24.9400,24.2900,24.7600,3609405,,
2024-02-16,29.8500,30.2500,28.5700,28.7300,6949784,,
2023-12-28,30.0000,31.1300,29.7900,30.2300,8979435,,
2024-11-20,32.8200,33.1000,30.9400,32.3600,9005034,,
2023-12-13,27.8400,28.4000,26.7797,28.1400,9480206,,
2024-09-27,24.6000,24.7240,24.0300,24.2200,2192475,,
2024-10-09,24.5800,26.2650,24.4900,26.1000,5377279,,
2024-04-23,21.6200,22.6300,21.6200,22.3300,5100882,,
2024-04-18,20.5800,21.4000,20.4500,20.8700,4690740,,
2024-10-15,27.5700,27.9400,26.1500,26.1900,4039802,,
2024-07-19,28.3200,28.5100,27.7600,27.8300,2778092,,
2024-05-29,23.5300,24.5500,23.4600,23.9200,11034138,,
2024-12-05,37.8800,39.6376,37.4450,37.4900,7538405,,
2024-08-09,24.9700,25.2401,24.7000,24.9500,1741431,,
2024-04-19,20.5800,21.3500,20.5387,20.7200,4428365,,
2024-09-30,24.0900,24.4740,23.9300,24.2300,1843470,,
2024-03-12,31.3900,31.3900,29.7300,30.6800,5047993,,
2024-03-07,32.6400,33.0000,31.7485,31.7700,6714809,,
2024-07-31,27.1800,27.5900,26.6750,26.7500,3173716,,
2024-04-09,25.0000,25.1684,24.5100,24.9300,3446509,,
2024-06-07,29.3700,31.1200,29.2200,30.0000,7843339,,
2024-04-08,25.4100,25.6700,24.9600,24.9700,2912827,,
2024-03-27,27.2700,27.5486,26.7700,27.2600,3539510,,
2024-04-11,23.6800,23.8500,23.0950,23.6700,4994039,,
2024-02-13,29.0500,30.2300,28.2900,28.7400,10977402,,
2024-02-14,29.3700,29.7900,28.6620,29.2400,6817471,,
2024-10-18,26.1100,26.3500,25.6300,25.6700,1941324,,
2024-02-20,28.5700,28.6900,26.3200,27.0500,6254431,,
2023-12-19,30.8800,33.9100,30.7600,32.2800,17580891,,
2024-11-14,27.5100,27.7150,26.2400,26.3800,2724426,,
2024-10-04,23.4200,24.1999,23.0394,24.0800,3031952,,
2024-11-15,26.3000,26.4100,25.3900,25.9900,3197182,,
2024-03-01,35.6600,35.9000,33.7100,35.8700,21607547,,
2024-01-29,25.1200,26.1050,24.9200,26.0600,4082012,,
2024-04-22,20.8500,21.6700,20.5700,21.5700,4489365,,
2024-09-19,24.0500,24.1500,23.4900,23.7200,3073166,,
2024-05-24,24.0000,24.2600,23.8300,24.0400,3260578,,
2024-02-02,24.4000,25.1500,24.3100,25.0200,4812493,,
2023-12-18,30.6300,31.5600,30.1600,30.6000,8284758,,
2024-11-25,38.5000,39.8800,37.8000,37.8600,9507359,,
2024-01-30,25.8100,26.0000,25.3200,25.5300,3483116,,
2024-11-07,27.7300,28.5500,27.4000,27.5200,3450748,,
2023-12-12,27.9500,28.1200,27.3100,27.7300,7805519,,
2024-11-06,27.4900,28.5300,27.3501,27.7000,5510923,,
2024-07-02,28.6500,29.3700,28.0500,28.0900,2368768,,
2024-05-14,25.9800,26.6600,25.6700,26.2500,7090247,,
2024-05-30,26.4600,29.1900,25.1500,28.5700,41472494,,
2024-02-29,35.1600,38.3000,33.7500,36.9700,56242807,,
2024-05-02,23.1200,23.3300,22.3191,23.1500,3126999,,
